Date,Julian,DOM,YTD,MTD
1/1/2023,1,1,1440,1440
1/2/2023,2,2,2880,2880
1/3/2023,3,3,4320,4320
1/4/2023,4,4,5760,5760
1/5/2023,5,5,7200,7200
1/6/2023,6,6,8640,8640
1/7/2023,7,7,10080,10080
1/8/2023,8,8,11520,11520
1/9/2023,9,9,12960,12960
1/10/2023,10,10,14400,14400
1/11/2023,11,11,15840,15840
1/12/2023,12,12,17280,17280
1/13/2023,13,13,18720,18720
1/14/2023,14,14,20160,20160
1/15/2023,15,15,21600,21600
1/16/2023,16,16,23040,23040
1/17/2023,17,17,24480,24480
1/18/2023,18,18,25920,25920
1/19/2023,19,19,27360,27360
1/20/2023,20,20,28800,28800
1/21/2023,21,21,30240,30240
1/22/2023,22,22,31680,31680
1/23/2023,23,23,33120,33120
1/24/2023,24,24,34560,34560
1/25/2023,25,25,36000,36000
1/26/2023,26,26,37440,37440
1/27/2023,27,27,38880,38880
1/28/2023,28,28,40320,40320
1/29/2023,29,29,41760,41760
1/30/2023,30,30,43200,43200
1/31/2023,31,31,44640,44640
2/1/2023,32,1,46080,1440
2/2/2023,33,2,47520,2880
2/3/2023,34,3,48960,4320
2/4/2023,35,4,50400,5760
2/5/2023,36,5,51840,7200
2/6/2023,37,6,53280,8640
2/7/2023,38,7,54720,10080
2/8/2023,39,8,56160,11520
2/9/2023,40,9,57600,12960
2/10/2023,41,10,59040,14400
2/11/2023,42,11,60480,15840
2/12/2023,43,12,61920,17280
2/13/2023,44,13,63360,18720
2/14/2023,45,14,64800,20160
2/15/2023,46,15,66240,21600
2/16/2023,47,16,67680,23040
2/17/2023,48,17,69120,24480
2/18/2023,49,18,70560,25920
2/19/2023,50,19,72000,27360
2/20/2023,51,20,73440,28800
2/21/2023,52,21,74880,30240
2/22/2023,53,22,76320,31680
2/23/2023,54,23,77760,33120
2/24/2023,55,24,79200,34560
2/25/2023,56,25,80640,36000
2/26/2023,57,26,82080,37440
2/27/2023,58,27,83520,38880
2/28/2023,59,28,84960,40320
3/1/2023,60,1,86400,1440
3/2/2023,61,2,87840,2880
3/3/2023,62,3,89280,4320
3/4/2023,63,4,90720,5760
3/5/2023,64,5,92160,7200
3/6/2023,65,6,93600,8640
3/7/2023,66,7,95040,10080
3/8/2023,67,8,96480,11520
3/9/2023,68,9,97920,12960
3/10/2023,69,10,99360,14400
3/11/2023,70,11,100800,15840
3/12/2023,71,12,102240,17280
3/13/2023,72,13,103680,18720
3/14/2023,73,14,105120,20160
3/15/2023,74,15,106560,21600
3/16/2023,75,16,108000,23040
3/17/2023,76,17,109440,24480
3/18/2023,77,18,110880,25920
3/19/2023,78,19,112320,27360
3/20/2023,79,20,113760,28800
3/21/2023,80,21,115200,30240
3/22/2023,81,22,116640,31680
3/23/2023,82,23,118080,33120
3/24/2023,83,24,119520,34560
3/25/2023,84,25,120960,36000
3/26/2023,85,26,122400,37440
3/27/2023,86,27,123840,38880
3/28/2023,87,28,125280,40320
3/29/2023,88,29,126720,41760
3/30/2023,89,30,128160,43200
3/31/2023,90,31,129600,44640
4/1/2023,91,1,131040,1440
4/2/2023,92,2,132480,2880
4/3/2023,93,3,133920,4320
4/4/2023,94,4,135360,5760
4/5/2023,95,5,136800,7200
4/6/2023,96,6,138240,8640
4/7/2023,97,7,139680,10080
4/8/2023,98,8,141120,11520
4/9/2023,99,9,142560,12960
4/10/2023,100,10,144000,14400
4/11/2023,101,11,145440,15840
4/12/2023,102,12,146880,17280
4/13/2023,103,13,148320,18720
4/14/2023,104,14,149760,20160
4/15/2023,105,15,151200,21600
4/16/2023,106,16,152640,23040
4/17/2023,107,17,154080,24480
4/18/2023,108,18,155520,25920
4/19/2023,109,19,156960,27360
4/20/2023,110,20,158400,28800
4/21/2023,111,21,159840,30240
4/22/2023,112,22,161280,31680
4/23/2023,113,23,162720,33120
4/24/2023,114,24,164160,34560
4/25/2023,115,25,165600,36000
4/26/2023,116,26,167040,37440
4/27/2023,117,27,168480,38880
4/28/2023,118,28,169920,40320
4/29/2023,119,29,171360,41760
4/30/2023,120,30,172800,43200
5/1/2023,121,1,174240,1440
5/2/2023,122,2,175680,2880
5/3/2023,123,3,177120,4320
5/4/2023,124,4,178560,5760
5/5/2023,125,5,180000,7200
5/6/2023,126,6,181440,8640
5/7/2023,127,7,182880,10080
5/8/2023,128,8,184320,11520
5/9/2023,129,9,185760,12960
5/10/2023,130,10,187200,14400
5/11/2023,131,11,188640,15840
5/12/2023,132,12,190080,17280
5/13/2023,133,13,191520,18720
5/14/2023,134,14,192960,20160
5/15/2023,135,15,194400,21600
5/16/2023,136,16,195840,23040
5/17/2023,137,17,197280,24480
5/18/2023,138,18,198720,25920
5/19/2023,139,19,200160,27360
5/20/2023,140,20,201600,28800
5/21/2023,141,21,203040,30240
5/22/2023,142,22,204480,31680
5/23/2023,143,23,205920,33120
5/24/2023,144,24,207360,34560
5/25/2023,145,25,208800,36000
5/26/2023,146,26,210240,37440
5/27/2023,147,27,211680,38880
5/28/2023,148,28,213120,40320
5/29/2023,149,29,214560,41760
5/30/2023,150,30,216000,43200
5/31/2023,151,31,217440,44640
6/1/2023,152,1,218880,1440
6/2/2023,153,2,220320,2880
6/3/2023,154,3,221760,4320
6/4/2023,155,4,223200,5760
6/5/2023,156,5,224640,7200
6/6/2023,157,6,226080,8640
6/7/2023,158,7,227520,10080
6/8/2023,159,8,228960,11520
6/9/2023,160,9,230400,12960
6/10/2023,161,10,231840,14400
6/11/2023,162,11,233280,15840
6/12/2023,163,12,234720,17280
6/13/2023,164,13,236160,18720
6/14/2023,165,14,237600,20160
6/15/2023,166,15,239040,21600
6/16/2023,167,16,240480,23040
6/17/2023,168,17,241920,24480
6/18/2023,169,18,243360,25920
6/19/2023,170,19,244800,27360
6/20/2023,171,20,246240,28800
6/21/2023,172,21,247680,30240
6/22/2023,173,22,249120,31680
6/23/2023,174,23,250560,33120
6/24/2023,175,24,252000,34560
6/25/2023,176,25,253440,36000
6/26/2023,177,26,254880,37440
6/27/2023,178,27,256320,38880
6/28/2023,179,28,257760,40320
6/29/2023,180,29,259200,41760
6/30/2023,181,30,260640,43200
7/1/2023,182,1,262080,1440
7/2/2023,183,2,263520,2880
7/3/2023,184,3,264960,4320
7/4/2023,185,4,266400,5760
7/5/2023,186,5,267840,7200
7/6/2023,187,6,269280,8640
7/7/2023,188,7,270720,10080
7/8/2023,189,8,272160,11520
7/9/2023,190,9,273600,12960
7/10/2023,191,10,275040,14400
7/11/2023,192,11,276480,15840
7/12/2023,193,12,277920,17280
7/13/2023,194,13,279360,18720
7/14/2023,195,14,280800,20160
7/15/2023,196,15,282240,21600
7/16/2023,197,16,283680,23040
7/17/2023,198,17,285120,24480
7/18/2023,199,18,286560,25920
7/19/2023,200,19,288000,27360
7/20/2023,201,20,289440,28800
7/21/2023,202,21,290880,30240
7/22/2023,203,22,292320,31680
7/23/2023,204,23,293760,33120
7/24/2023,205,24,295200,34560
7/25/2023,206,25,296640,36000
7/26/2023,207,26,298080,37440
7/27/2023,208,27,299520,38880
7/28/2023,209,28,300960,40320
7/29/2023,210,29,302400,41760
7/30/2023,211,30,303840,43200
7/31/2023,212,31,305280,44640
8/1/2023,213,1,306720,1440
8/2/2023,214,2,308160,2880
8/3/2023,215,3,309600,4320
8/4/2023,216,4,311040,5760
8/5/2023,217,5,312480,7200
8/6/2023,218,6,313920,8640
8/7/2023,219,7,315360,10080
8/8/2023,220,8,316800,11520
8/9/2023,221,9,318240,12960
8/10/2023,222,10,319680,14400
8/11/2023,223,11,321120,15840
8/12/2023,224,12,322560,17280
8/13/2023,225,13,324000,18720
8/14/2023,226,14,325440,20160
8/15/2023,227,15,326880,21600
8/16/2023,228,16,328320,23040
8/17/2023,229,17,329760,24480
8/18/2023,230,18,331200,25920
8/19/2023,231,19,332640,27360
8/20/2023,232,20,334080,28800
8/21/2023,233,21,335520,30240
8/22/2023,234,22,336960,31680
8/23/2023,235,23,338400,33120
8/24/2023,236,24,339840,34560
8/25/2023,237,25,341280,36000
8/26/2023,238,26,342720,37440
8/27/2023,239,27,344160,38880
8/28/2023,240,28,345600,40320
8/29/2023,241,29,347040,41760
8/30/2023,242,30,348480,43200
8/31/2023,243,31,349920,44640
9/1/2023,244,1,351360,1440
9/2/2023,245,2,352800,2880
9/3/2023,246,3,354240,4320
9/4/2023,247,4,355680,5760
9/5/2023,248,5,357120,7200
9/6/2023,249,6,358560,8640
9/7/2023,250,7,360000,10080
9/8/2023,251,8,361440,11520
9/9/2023,252,9,362880,12960
9/10/2023,253,10,364320,14400
9/11/2023,254,11,365760,15840
9/12/2023,255,12,367200,17280
9/13/2023,256,13,368640,18720
9/14/2023,257,14,370080,20160
9/15/2023,258,15,371520,21600
9/16/2023,259,16,372960,23040
9/17/2023,260,17,374400,24480
9/18/2023,261,18,375840,25920
9/19/2023,262,19,377280,27360
9/20/2023,263,20,378720,28800
9/21/2023,264,21,380160,30240
9/22/2023,265,22,381600,31680
9/23/2023,266,23,383040,33120
9/24/2023,267,24,384480,34560
9/25/2023,268,25,385920,36000
9/26/2023,269,26,387360,37440
9/27/2023,270,27,388800,38880
9/28/2023,271,28,390240,40320
9/29/2023,272,29,391680,41760
9/30/2023,273,30,393120,43200
10/1/2023,274,1,394560,1440
10/2/2023,275,2,396000,2880
10/3/2023,276,3,397440,4320
10/4/2023,277,4,398880,5760
10/5/2023,278,5,400320,7200
10/6/2023,279,6,401760,8640
10/7/2023,280,7,403200,10080
10/8/2023,281,8,404640,11520
10/9/2023,282,9,406080,12960
10/10/2023,283,10,407520,14400
10/11/2023,284,11,408960,15840
10/12/2023,285,12,410400,17280
10/13/2023,286,13,411840,18720
10/14/2023,287,14,413280,20160
10/15/2023,288,15,414720,21600
10/16/2023,289,16,416160,23040
10/17/2023,290,17,417600,24480
10/18/2023,291,18,419040,25920
10/19/2023,292,19,420480,27360
10/20/2023,293,20,421920,28800
10/21/2023,294,21,423360,30240
10/22/2023,295,22,424800,31680
10/23/2023,296,23,426240,33120
10/24/2023,297,24,427680,34560
10/25/2023,298,25,429120,36000
10/26/2023,299,26,430560,37440
10/27/2023,300,27,432000,38880
10/28/2023,301,28,433440,40320
10/29/2023,302,29,434880,41760
10/30/2023,303,30,436320,43200
10/31/2023,304,31,437760,44640
11/1/2023,305,1,439200,1440
11/2/2023,306,2,440640,2880
11/3/2023,307,3,442080,4320
11/4/2023,308,4,443520,5760
11/5/2023,309,5,444960,7200
11/6/2023,310,6,446400,8640
11/7/2023,311,7,447840,10080
11/8/2023,312,8,449280,11520
11/9/2023,313,9,450720,12960
11/10/2023,314,10,452160,14400
11/11/2023,315,11,453600,15840
11/12/2023,316,12,455040,17280
11/13/2023,317,13,456480,18720
11/14/2023,318,14,457920,20160
11/15/2023,319,15,459360,21600
11/16/2023,320,16,460800,23040
11/17/2023,321,17,462240,24480
11/18/2023,322,18,463680,25920
11/19/2023,323,19,465120,27360
11/20/2023,324,20,466560,28800
11/21/2023,325,21,468000,30240
11/22/2023,326,22,469440,31680
11/23/2023,327,23,470880,33120
11/24/2023,328,24,472320,34560
11/25/2023,329,25,473760,36000
11/26/2023,330,26,475200,37440
11/27/2023,331,27,476640,38880
11/28/2023,332,28,478080,40320
11/29/2023,333,29,479520,41760
11/30/2023,334,30,480960,43200
12/1/2023,335,1,482400,1440
12/2/2023,336,2,483840,2880
12/3/2023,337,3,485280,4320
12/4/2023,338,4,486720,5760
12/5/2023,339,5,488160,7200
12/6/2023,340,6,489600,8640
12/7/2023,341,7,491040,10080
12/8/2023,342,8,492480,11520
12/9/2023,343,9,493920,12960
12/10/2023,344,10,495360,14400
12/11/2023,345,11,496800,15840
12/12/2023,346,12,498240,17280
12/13/2023,347,13,499680,18720
12/14/2023,348,14,501120,20160
12/15/2023,349,15,502560,21600
12/16/2023,350,16,504000,23040
