Date,Julian,DOM,YTD,MTD
2023-01-01,1,1,1440,1440
2023-01-02,2,2,2880,2880
2023-01-03,3,3,4320,4320
2023-01-04,4,4,5760,5760
2023-01-05,5,5,7200,7200
2023-01-06,6,6,8640,8640
2023-01-07,7,7,10080,10080
2023-01-08,8,8,11520,11520
2023-01-09,9,9,12960,12960
2023-01-10,10,10,14400,14400
2023-01-11,11,11,15840,15840
2023-01-12,12,12,17280,17280
2023-01-13,13,13,18720,18720
2023-01-14,14,14,20160,20160
2023-01-15,15,15,21600,21600
2023-01-16,16,16,23040,23040
2023-01-17,17,17,24480,24480
2023-01-18,18,18,25920,25920
2023-01-19,19,19,27360,27360
2023-01-20,20,20,28800,28800
2023-01-21,21,21,30240,30240
2023-01-22,22,22,31680,31680
2023-01-23,23,23,33120,33120
2023-01-24,24,24,34560,34560
2023-01-25,25,25,36000,36000
2023-01-26,26,26,37440,37440
2023-01-27,27,27,38880,38880
2023-01-28,28,28,40320,40320
